,area,intensity_mean,major_axis_length,minor_axis_length,aspect_ratio,source_file
25,264,84.47348485,18.86936752,17.96512282,1.050333344,BBBC007_20P1_POS0007_D_1UL
26,641,78.21528861,41.81932483,20.80738262,2.009831106,BBBC007_20P1_POS0007_D_1UL
27,121,88.02479339,20.16427803,8.291349223,2.431965834,BBBC007_20P1_POS0007_D_1UL
28,248,121.5645161,21.29388345,14.8286441,1.435996663,BBBC007_20P1_POS0007_D_1UL
29,259,98.22779923,18.9551915,17.52107926,1.081850679,BBBC007_20P1_POS0007_D_1UL
30,323,103.2167183,21.37957497,19.25850968,1.110136523,BBBC007_20P1_POS0007_D_1UL
31,292,122.2636986,23.75522711,15.79691239,1.503789255,BBBC007_20P1_POS0007_D_1UL
32,300,111.3033333,20.43425643,18.77914469,1.088135629,BBBC007_20P1_POS0007_D_1UL
33,301,96.42192691,20.44758055,18.74624107,1.0907563,BBBC007_20P1_POS0007_D_1UL
34,442,92.66289593,33.73433687,18.03512184,1.87048012,BBBC007_20P1_POS0007_D_1UL
35,314,81.2866242,21.11912289,19.02641306,1.109989719,BBBC007_20P1_POS0007_D_1UL
36,285,114.954386,19.54500301,18.59904314,1.050860674,BBBC007_20P1_POS0007_D_1UL
37,315,100.9047619,21.84332764,18.40514138,1.186805751,BBBC007_20P1_POS0007_D_1UL
38,177,82.17514124,15.76416066,14.30939169,1.101665326,BBBC007_20P1_POS0007_D_1UL
39,179,79.24581006,15.91069885,14.37322581,1.106967849,BBBC007_20P1_POS0007_D_1UL
40,48,77.75,8.202178917,7.440175096,1.102417458,BBBC007_20P1_POS0007_D_1UL
41,288,106.6041667,20.07655684,18.29428602,1.097422268,BBBC007_20P1_POS0007_D_1UL
42,167,94.41916168,15.29819536,13.88599384,1.101699708,BBBC007_20P1_POS0007_D_1UL
43,292,99.8390411,19.8559062,18.75412202,1.058748907,BBBC007_20P1_POS0007_D_1UL
44,311,105.2765273,21.08386918,18.85071272,1.11846536,BBBC007_20P1_POS0007_D_1UL
45,323,110.7770898,24.28411787,17.47433999,1.389701578,BBBC007_20P1_POS0007_D_1UL
46,334,87.36826347,23.82728524,17.87039896,1.333338181,BBBC007_20P1_POS0007_D_1UL
47,350,116.0628571,23.55576323,18.99512489,1.240095201,BBBC007_20P1_POS0007_D_1UL
48,280,108.4,19.48770202,18.30094457,1.064846787,BBBC007_20P1_POS0007_D_1UL
49,327,103.3975535,21.36037724,19.50132435,1.095329571,BBBC007_20P1_POS0007_D_1UL
50,327,97.40366972,21.64944817,19.27430501,1.123228472,BBBC007_20P1_POS0007_D_1UL
51,361,93.37119114,24.60555857,18.7070017,1.315312788,BBBC007_20P1_POS0007_D_1UL
52,293,100.2798635,20.2854958,18.5016122,1.096417738,BBBC007_20P1_POS0007_D_1UL
53,310,94.99032258,23.15450869,17.07247716,1.356247748,BBBC007_20P1_POS0007_D_1UL
54,254,103.6377953,20.58303496,15.71762111,1.309551542,BBBC007_20P1_POS0007_D_1UL
55,335,98.47462687,21.24735163,20.13986055,1.054990007,BBBC007_20P1_POS0007_D_1UL
56,243,103.5967078,19.97775722,15.91973559,1.25490509,BBBC007_20P1_POS0007_D_1UL
57,377,93.65251989,23.35068354,20.57667552,1.134813227,BBBC007_20P1_POS0007_D_1UL
58,333,114.4834835,21.70204271,19.5764657,1.10857818,BBBC007_20P1_POS0007_D_1UL
59,305,88.25245902,20.22653239,19.24421005,1.051045085,BBBC007_20P1_POS0007_D_1UL
60,593,89.90556492,36.50837048,21.36539378,1.708761882,BBBC007_20P1_POS0007_D_1UL
61,289,106.8512111,20.42780871,18.22145247,1.121085641,BBBC007_20P1_POS0007_D_1UL
62,277,100.6642599,20.30796529,17.43291959,1.164920494,BBBC007_20P1_POS0007_D_1UL
63,46,70.86956522,11.64889543,5.298002515,2.198733466,BBBC007_20P1_POS0007_D_1UL
64,139,96.54676259,17.50410401,10.2927697,1.70062136,BBBC007_20P1_POS0010_D_1UL
65,360,86.61388889,35.74680768,14.98312426,2.385804659,BBBC007_20P1_POS0010_D_1UL
66,43,91.48837209,12.96788442,4.351573407,2.980044965,BBBC007_20P1_POS0010_D_1UL
67,140,73.74285714,18.94050837,10.31440443,1.83631624,BBBC007_20P1_POS0010_D_1UL
68,144,89.375,13.63930773,13.45853236,1.013432027,BBBC007_20P1_POS0010_D_1UL
69,194,85.72680412,17.90434696,13.82984942,1.29461619,BBBC007_20P1_POS0010_D_1UL
70,251,100.0398406,19.59960381,16.30411403,1.202126272,BBBC007_20P1_POS0010_D_1UL
71,310,106.1451613,21.68348763,18.35228668,1.181514217,BBBC007_20P1_POS0010_D_1UL
72,276,113.8224638,21.49587402,16.38949971,1.31156377,BBBC007_20P1_POS0010_D_1UL
73,160,98.30625,15.04257295,13.54106251,1.110885718,BBBC007_20P1_POS0010_D_1UL
74,283,110.2438163,19.82178058,18.25604373,1.085765398,BBBC007_20P1_POS0010_D_1UL
75,539,93.82931354,30.75560175,23.86964025,1.288481998,BBBC007_20P1_POS0010_D_1UL
76,237,96.18987342,20.41073678,14.83203512,1.376125165,BBBC007_20P1_POS0010_D_1UL
77,51,64.23529412,8.505998926,7.608358631,1.117980808,BBBC007_20P1_POS0010_D_1UL
78,211,94.84834123,18.74314548,14.35375932,1.305800457,BBBC007_20P1_POS0010_D_1UL
79,402,101.4527363,24.25603866,22.37062728,1.084280667,BBBC007_20P1_POS0010_D_1UL
80,156,81.39102564,16.09112371,12.36945499,1.300875723,BBBC007_20P1_POS0010_D_1UL
81,278,115.7266187,21.44453279,16.66114148,1.287098655,BBBC007_20P1_POS0010_D_1UL
82,273,108.3296703,19.89817937,17.48026603,1.138322456,BBBC007_20P1_POS0010_D_1UL
83,972,98.72016461,57.31103495,25.5023541,2.247284103,BBBC007_20P1_POS0010_D_1UL
84,320,120.04375,22.67697926,18.03965907,1.257062519,BBBC007_20P1_POS0010_D_1UL
85,305,104.2688525,21.09018439,18.41775182,1.145100911,BBBC007_20P1_POS0010_D_1UL
86,326,114.3067485,22.07441256,18.80848118,1.17364142,BBBC007_20P1_POS0010_D_1UL
87,207,81.94202899,19.11287595,14.11734515,1.353857666,BBBC007_20P1_POS0010_D_1UL
88,294,114.4761905,19.7177777,19.05302222,1.034889766,BBBC007_20P1_POS0010_D_1UL
89,224,88.33482143,18.16615339,15.69558924,1.157404995,BBBC007_20P1_POS0010_D_1UL
90,213,95.05633803,17.24876979,15.74682632,1.095380709,BBBC007_20P1_POS0010_D_1UL
91,327,93.26911315,22.54114086,18.5781835,1.213312424,BBBC007_20P1_POS0010_D_1UL
92,319,105.5830721,21.04530156,19.31001227,1.089864743,BBBC007_20P1_POS0010_D_1UL
93,291,110.1030928,19.60688318,18.97935324,1.033063821,BBBC007_20P1_POS0010_D_1UL
94,263,102.3307985,19.3948345,17.28272373,1.12220937,BBBC007_20P1_POS0010_D_1UL
95,238,105.4747899,18.37158206,16.96009368,1.083224091,BBBC007_20P1_POS0010_D_1UL
96,250,100.256,18.95328718,16.78921681,1.128896446,BBBC007_20P1_POS0010_D_1UL
97,277,118.2093863,21.73074014,16.2409953,1.33801776,BBBC007_20P1_POS0010_D_1UL
98,264,88.06060606,20.92467079,16.12063476,1.298005388,BBBC007_20P1_POS0010_D_1UL
99,226,93.76548673,18.07876584,15.98698808,1.130842517,BBBC007_20P1_POS0010_D_1UL
100,267,107.5468165,19.0661401,17.88121627,1.0662664,BBBC007_20P1_POS0010_D_1UL
101,300,104.2133333,21.47445636,17.8176564,1.205234621,BBBC007_20P1_POS0010_D_1UL
102,290,92.9137931,24.74551721,14.9985119,1.649864825,BBBC007_20P1_POS0010_D_1UL
103,282,104.8794326,20.70344031,17.41327927,1.188945516,BBBC007_20P1_POS0010_D_1UL
104,307,101.1042345,20.15554708,19.45870689,1.035811228,BBBC007_20P1_POS0010_D_1UL
105,84,86.86904762,14.82486664,7.622393334,1.944909688,BBBC007_20P1_POS0010_D_1UL
106,315,91.13333333,20.92709533,19.20928278,1.089426168,BBBC007_20P1_POS0010_D_1UL
107,206,94.26213592,23.38187856,11.66966783,2.003645597,BBBC007_20P1_POS0010_D_1UL
108,45,68.37777778,9.406371344,6.276444725,1.498678274,BBBC007_20P1_POS0010_D_1UL
109,33,76.72727273,10.72427534,4.174567838,2.568954622,BBBC007_20P1_POS0010_D_1UL
110,16,76.75,7.745966692,2.783882181,2.782433375,BBBC007_20P1_POS0010_D_1UL
